Egg_Price,Potion_Price
07/01/2022 20:24:22,4276,1299
07/01/2022 20:24:31,4276,1299
07/01/2022 20:24:43,4276,1299
07/01/2022 20:24:55,4277,1299
07/01/2022 20:25:09,4280,1299
07/01/2022 20:28:30,4288,1299
07/01/2022 20:28:40,4289,1299
07/01/2022 20:28:50,4298,1299
07/01/2022 20:29:01,4280,1299
07/01/2022 20:29:10,4297,1299
07/01/2022 20:29:20,4297,1299
07/01/2022 20:29:31,4298,1302
07/01/2022 20:29:41,4298,1302
07/01/2022 20:29:53,4298,1303
07/01/2022 20:30:01,4298,1303
07/01/2022 20:30:11,4288,1304
07/01/2022 20:30:21,4298,1304
07/01/2022 20:30:31,4297,1304
07/01/2022 20:30:41,4297,1300
07/01/2022 20:30:53,4298,1304
07/01/2022 20:31:01,4298,1303
07/01/2022 20:31:12,4298,1303
07/01/2022 20:31:21,4298,1303
07/01/2022 20:31:31,4298,1303
07/01/2022 20:31:41,4298,1305
